feature_table,feature_set,model,mode,n,balanced_accuracy,macro_recall,macro_f1,T1_recall,T2_recall,T3_recall,T4_recall,T4_precision,T4_f1,n_pred_T4,w_T1,w_T2,w_T3,w_T4,thr_ge_T2,thr_ge_T3,thr_ge_T4,source_file
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu_geom,rf_leaf2,ordinal_threshold_tuned,745,0.5655561734854762,0.5655561734854762,0.5484751022730026,0.7245508982035929,0.4802867383512544,0.4505494505494505,0.6068376068376068,0.5298507462686567,0.5657370517928287,134,,,,,0.6499999999999999,0.4499999999999999,0.35,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu_geom,rf_subsample_leaf2,proba_weight_tuned,745,0.5654612434117939,0.5654612434117939,0.5208409827662219,0.7964071856287425,0.4336917562724014,0.2967032967032967,0.7350427350427351,0.4725274725274725,0.5752508361204013,182,1.0,0.6,0.7,1.1,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline_plus_hu,rf_leaf2,proba_weight_tuned,745,0.5651885995231563,0.5651885995231563,0.5326910862260346,0.6586826347305389,0.4946236559139785,0.3296703296703296,0.7777777777777778,0.4715025906735751,0.5870967741935483,193,1.0,0.7999999999999999,1.0,1.4999999999999998,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_leaf2,proba_weight_tuned,745,0.5645387117764943,0.5645387117764943,0.537090872985941,0.6586826347305389,0.5017921146953405,0.3626373626373626,0.7350427350427351,0.4699453551912568,0.5733333333333334,183,1.0,0.7999999999999999,1.0,1.4,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu,rf_subsample_leaf2,proba_weight_tuned,745,0.5638780928041117,0.5638780928041117,0.5328017428603855,0.6407185628742516,0.5268817204301075,0.3186813186813186,0.7692307692307693,0.4568527918781725,0.5732484076433121,197,1.0,0.7999999999999999,1.0,1.4999999999999998,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu_geom,rf_depth12_leaf1,tuned_posthoc_t3_to_t4,745,0.5631582752019298,0.5631582752019298,0.5165211657114318,0.8203592814371258,0.3870967741935484,0.3186813186813186,0.7264957264957265,0.4970760233918128,0.5902777777777778,171,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu_geom,rf_leaf1,tuned_posthoc_t3_to_t4,745,0.5628521404549992,0.5628521404549992,0.5091483173576995,0.8023952095808383,0.3476702508960573,0.3406593406593406,0.7606837606837606,0.4564102564102564,0.5705128205128205,195,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_petaware,baseline_plus_hu_geom,rf_leaf2,tuned_posthoc_t3_to_t4,745,0.5614570516299316,0.5614570516299316,0.5143014434291838,0.7664670658682635,0.3835125448028674,0.3351648351648351,0.7606837606837606,0.4734042553191489,0.5836065573770491,188,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_petaware/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom,baseline,rf_leaf2,tuned_posthoc_t3_to_t4,745,0.5614445515208505,0.5614445515208505,0.518551571116482,0.7125748502994012,0.4336917562724014,0.3131868131868132,0.7863247863247863,0.4577114427860697,0.5786163522012578,201,,,,,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom/summary_rf_only_tstage.csv
pred_oof_headneck_hu_realgeom_predmask_final,baseline_plus_hu_geom,rf_leaf1,proba_weight_tuned,745,0.5613258889287478,0.5613258889287478,0.5102532431336779,0.8023952095808383,0.3476702508960573,0.3516483516483517,0.7435897435897436,0.46524064171123,0.5723684210526315,187,1.0,0.5,0.7999999999999999,1.4,,,,outputs/tn_staging/models/rf_only_tstage_pred_oof_headneck_hu_realgeom_predmask_final/summary_rf_only_tstage.csv
